power_roi,power_x,power_y,power_z,matched_region_value,matched_region_name,matched_region_x,matched_region_y,matched_region_z,distance_mm
36,42,-20,55,6002.0,Region_6002.0,41.15825268114047,-26.772691603452785,51.25398901386346,7.785273817441665
37,-38,-15,69,2001.0,Region_2001.0,-38.93023255813952,-6.961429381735684,49.64038570618264,20.98281715600702
38,-16,-46,73,6401.0,Region_6401.0,-7.974796145292814,-26.650852483320975,68.6923647146034,21.385722533592524
39,2,-28,60,6402.0,Region_6402.0,7.126794258373209,-32.942583732057415,66.79186602870814,9.840863654578637
40,3,-17,58,2402.0,Region_2402.0,8.246309574019406,-1.0932096161956935,60.512863770560955,16.93706671150984
41,38,-17,45,2002.0,Region_2002.0,41.100857734398105,-9.549837326234837,50.80981958000592,9.943552992102996
42,-49,-11,35,2001.0,Region_2001.0,-38.93023255813952,-6.961429381735684,49.64038570618264,18.22227106037165
43,36,-9,14,8102.0,Region_8102.0,45.87951807228916,-18.144578313253007,9.044176706827315,14.345325872250456
44,51,-6,32,2332.0,Region_2332.0,52.381667918858,-7.537190082644628,13.32982719759579,18.78423040903769
45,-53,-10,24,2331.0,Region_2331.0,-47.406060606060606,-9.77575757575758,12.638383838383845,12.666047702886429
46,66,-8,25,2332.0,Region_2332.0,52.381667918858,-7.537190082644628,13.32982719759579,17.940626938037557
47,-3,2,53,2401.0,Region_2401.0,-5.690731252911036,3.550069864927792,60.06427573358175,7.7166536077254015
48,54,-28,34,6212.0,Region_6212.0,57.262411347517734,-32.817629179331306,33.13475177304964,5.8823067927640125
49,19,-8,64,2402.0,Region_2402.0,8.246309574019406,-1.0932096161956935,60.512863770560955,13.24785757269094
50,-16,-5,71,2401.0,Region_2401.0,-5.690731252911036,3.550069864927792,60.06427573358175,17.290887253868163
51,-10,-2,42,4011.0,Region_4011.0,-5.882534775888715,-16.1009788768676,40.21432251416796,14.797965037161005
52,37,1,-4,3002.0,Region_3002.0,38.722033898305085,5.020338983050834,0.8135593220338961,6.503758884851854
53,13,-1,70,2402.0,Region_2402.0,8.246309574019406,-1.0932096161956935,60.512863770560955,10.611880819842721
54,7,8,51,2402.0,Region_2402.0,8.246309574019406,-1.0932096161956935,60.512863770560955,13.2187112002501
55,-45,0,9,2331.0,Region_2331.0,-47.406060606060606,-9.77575757575758,12.638383838383845,10.704784013488139
56,49,8,-1,3002.0,Region_3002.0,38.722033898305085,5.020338983050834,0.8135593220338961,10.853753469563069
57,-34,3,4,3001.0,Region_3001.0,-35.410118406889126,5.440258342303565,2.1722282023681316,3.359173178454499
58,-51,8,-2,3001.0,Region_3001.0,-35.410118406889126,5.440258342303565,2.1722282023681316,16.340262348383508
59,-5,18,34,2101.0,Region_2101.0,-18.772992497916093,33.48985829397054,40.95415393164768,21.863011897265935
60,36,10,1,3002.0,Region_3002.0,38.722033898305085,5.020338983050834,0.8135593220338961,5.678138120338888
61,32,-26,13,8102.0,Region_8102.0,45.87951807228916,-18.144578313253007,9.044176706827315,16.431591819492837
62,65,-33,20,6212.0,Region_6212.0,57.262411347517734,-32.817629179331306,33.13475177304964,15.245499054176102
63,58,-16,7,8112.0,Region_8112.0,57.83253740846864,-23.01050620821394,5.418656478828396,7.1885943234348675
